categoria_MLA,categoria_name,seller,state,city,grupo,cancellations_rate,claims_rate,delayed_handling_time_rate,avg_ticket
MLA5725,Accesorios para Vehículos,65301834,Buenos Aires,Pablo Podesta,relevancia alta-perfil medio,0.0051,0.013,0.1196,8706.62
MLA5725,Accesorios para Vehículos,41779198,Buenos Aires,La Tablada,relevancia media-perfil alto,0.0,0.0,0.0045,2890.0
MLA5725,Accesorios para Vehículos,229708929,Buenos Aires,General Pacheco,relevancia alta-perfil medio,0.0113,0.0117,0.0504,5000.10294117647
MLA5725,Accesorios para Vehículos,53073585,Córdoba,Córdoba,relevancia alta-perfil medio,0.0,0.0042,0.0072,7175.8
MLA5725,Accesorios para Vehículos,431643560,Buenos Aires,Villa Lynch,relevancia alta-perfil medio,0.0014,0.0052,0.013,3821.531111111111
MLA5725,Accesorios para Vehículos,39384567,Capital Federal,Villa Urquiza,relevancia media-perfil medio,0.01,0.0179,0.0725,757.6
MLA5725,Accesorios para Vehículos,102862284,Buenos Aires,Moreno,relevancia alta-perfil medio,0.0,0.0072,0.003,7116.666666666667
MLA5725,Accesorios para Vehículos,547518652,Buenos Aires,Villa Lynch,relevancia media-perfil medio,0.0,0.0037,0.0123,1228.0
MLA5725,Accesorios para Vehículos,486630461,Buenos Aires,San Justo,relevancia media-perfil medio,0.0128,0.0073,0.0059,1299.0
MLA5725,Accesorios para Vehículos,76069144,Capital Federal,Mataderos,relevancia alta-perfil alto,0.0,0.0068,0.0,5299.0
MLA5725,Accesorios para Vehículos,61989234,Buenos Aires,Ituzaingó,relevancia alta-perfil medio,0.0012,0.011,0.0223,10963.209142394822
MLA5725,Accesorios para Vehículos,80811741,Capital Federal,Barracas,relevancia alta-perfil medio,0.0051,0.0129,0.0223,4177.111111111111
MLA5725,Accesorios para Vehículos,144515229,Buenos Aires,Gerli,relevancia alta-perfil medio,0.0039,0.0078,0.0142,17622.0
MLA5725,Accesorios para Vehículos,227806077,Buenos Aires,Remedios De Escalada,relevancia alta-perfil medio,0.0035,0.0095,0.0154,4500.0
MLA5725,Accesorios para Vehículos,113746522,Capital Federal,Villa Ortúzar,relevancia alta-perfil medio,0.0006,0.0081,0.0105,8121.80447692426
MLA5725,Accesorios para Vehículos,135011639,Buenos Aires,Villa Martelli,relevancia media-perfil medio,0.0,0.0117,0.0031,2136.55
MLA5725,Accesorios para Vehículos,50037187,Buenos Aires,Caseros,relevancia alta-perfil medio,0.0168,0.0124,0.0786,7399.0
MLA5725,Accesorios para Vehículos,226262026,Buenos Aires,Don Torcuato,relevancia alta-perfil medio,0.0,0.005,0.0065,3613.752580645161
MLA5725,Accesorios para Vehículos,352596002,Capital Federal,Retiro,relevancia alta-perfil medio,0.0023,0.0097,0.011,5089.196078431372
MLA5725,Accesorios para Vehículos,175833067,Buenos Aires,Caseros,relevancia alta-perfil medio,0.0,0.0077,0.0174,3860.57
MLA5725,Accesorios para Vehículos,359888435,Buenos Aires,Monte Grande,relevancia media-perfil medio,0.0087,0.0137,0.0104,1520.0
MLA5725,Accesorios para Vehículos,186930502,Chaco,Resistencia,relevancia media-perfil alto,0.0,0.0,0.0099,1700.0
